[0707/144723.027:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3d1c00188a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144723.037:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3d1c00185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/150432.133:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:285] ContextResult::kTransientFailure: Failed to send GpuControl.CreateCommandBuffer.
[0707/150434.036:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc04001c4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150434.084:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc04001c1a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150434.116:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc04001c4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150434.127:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc04001c1a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/150625.464:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x17a4020a9800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150625.502:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x17a4001cd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150625.518:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x17a4020a9800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150625.532:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x17a4001cd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/150728.127:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b84001c9600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
